jitter,init_mass,tick,mean_body_mass,mean_disp_um,max_disp_um,n_cells
0.5,,0,0.08011809974531389,9.035254522555679,10.288851750894683,2
0.5,,1,0.14481588268214637,7.054259717197873,7.571509073929502,2
0.5,,2,0.20780018026537392,9.907028936073178,12.032334687824887,2
0.5,,3,0.27109246036887047,7.452886443939961,10.393516994158752,2
0.5,,4,0.3352253558568714,6.876566514842169,7.556897706318578,2
0.5,,5,0.396469595098929,4.658867091495373,6.994306228760472,2
0.5,,6,0.45954810665293966,3.139273307072736,6.000498648590739,2
0.5,,7,0.5205605427573028,2.1777133653601854,3.5661279920055486,2
0.5,,8,0.5831305025713869,0.5879741264688606,0.7361326195952149,2
0.5,,9,0.6460215295293006,0.6800313254116603,1.1015891122700756,2
0.5,,10,0.7146387773317224,1.3136482871810766,1.7884855704535525,2
0.5,,11,0.7830616456084067,1.8469602758066035,2.6652301260390487,2
0.0001,,0,0.08011809974531389,0.13375113898052698,0.17118461086115566,2
0.0001,,1,0.14481588268214637,0.12545004882677452,0.1605854508787993,2
0.0001,,2,0.20780018026537392,0.11726455692814534,0.15045859393166974,2
0.0001,,3,0.27109246036887047,0.10934188534336686,0.14009986224250562,2
0.0001,,4,0.3352253558568714,0.10189048403031922,0.13061631699465132,2
0.0001,,5,0.396469595098929,0.09503257005635149,0.12173020805170404,2
0.0001,,6,0.45954810665293966,0.08868599854803608,0.11346681481953251,2
0.0001,,7,0.5205605427573028,0.08274649151378362,0.10588334887760346,2
0.0001,,8,0.5831305025713869,0.0770234031878289,0.09857488172624695,2
0.0001,,9,0.6460215295293006,0.07189264251491086,0.09195015500960992,2
0.0001,,10,0.7146387773317224,0.06713671979647769,0.08582138260923242,2
0.0001,,11,0.7830616456084067,0.06261985163922174,0.0799887080824782,2
0.5,200.0,0,200.0401180997453,0.13590298704874385,0.1755168633740678,2
0.5,200.0,1,200.10481588268215,0.1255044765941189,0.16225804394654622,2
0.5,200.0,2,200.16780018026537,0.11820447019170169,0.15011380647319356,2
0.5,200.0,3,200.23109246036887,0.11030798718905206,0.13911942996262952,2
0.5,200.0,4,200.29522535585687,0.10264787705693011,0.1286475689830227,2
0.5,200.0,5,200.35646959509893,0.09667705233602096,0.1215956098502397,2
0.5,200.0,6,200.41954810665294,0.09182401898413264,0.11309096809346256,2
0.5,200.0,7,200.4805605427573,0.08673646284023555,0.10647201323254103,2
0.5,200.0,8,200.5431305025714,0.0792016089219085,0.09907975028123805,2
0.5,200.0,9,200.6060215295293,0.07309548649570498,0.09078250188900475,2
0.5,200.0,10,200.67463877733172,0.06926642130196384,0.08338024598001881,2
0.5,200.0,11,200.7430616456084,0.06634375649861611,0.07944777573765842,2
0.0001,200.0,0,200.0401180997453,0.13306267630704674,0.17244401290169217,2
0.0001,200.0,1,200.10481588268215,0.12415162958169937,0.16089574154362152,2
0.0001,200.0,2,200.16780018026537,0.11583729839540968,0.1501203964294313,2
0.0001,200.0,3,200.23109246036887,0.10808007074740116,0.14006775300090993,2
0.0001,200.0,4,200.29522535585687,0.10084268285622448,0.13068825768770634,2
0.0001,200.0,5,200.35646959509893,0.09408975731320955,0.12193646838835731,2
0.0001,200.0,6,200.41954810665294,0.08778879974356305,0.11377067157524723,2
0.0001,200.0,7,200.4805605427573,0.08190949638681154,0.10615147740699178,2
0.0001,200.0,8,200.5431305025714,0.07642345278001872,0.09904205316288321,2
0.0001,200.0,9,200.6060215295293,0.07130512578923139,0.0924086059871377,2
0.0001,200.0,10,200.67463877733172,0.06653022443543431,0.08622033817071091,2
0.0001,200.0,11,200.7430616456084,0.06207487091901901,0.08044628910660678,2
