$	0m	0m	1m	1m	1m	2m	2m	2m
EG10075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10076	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000	0.0000	0.0000
EG10077	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10079	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.1429	0.0000
EG10080	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10081	1.0000	1.0000	1.0000	0.8636	0.9524	1.0000	1.0000	1.0000
EG10082	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10083	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10084	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10085	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10086	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10088	5.0000	5.0000	5.0000	4.1364	4.0000	3.5455	4.0000	4.2727
EG10089	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10090	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10091	0.0000	0.0000	0.5238	1.0000	1.0000	0.0909	0.0000	0.9545
EG10092	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10093	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10094	3.0000	3.0000	2.8571	2.0000	2.0000	2.0000	2.0000	2.3182
EG10095	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10096	3.0000	3.0000	3.5714	4.0000	4.0000	4.0000	3.5714	3.3636
EG10097	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10098	4.0000	4.0000	4.0000	4.0000	4.8571	5.0000	5.0000	5.0000
EG10099	4.0000	4.0000	4.0000	4.0000	4.8571	5.0000	5.0000	5.0000
EG10100	4.0000	4.0000	4.0000	4.0000	4.8571	5.0000	5.0000	5.0000
EG10101	4.0000	4.0000	4.0000	4.0000	4.8571	5.0000	5.0000	5.0000
EG10102	4.0000	4.0000	4.0000	4.0000	4.8571	5.0000	5.0000	5.0000
EG10103	4.0000	4.0000	4.0000	4.0000	4.8571	5.0000	5.0000	5.0000
EG10104	4.0000	4.0000	4.0000	4.0000	4.8571	5.0000	5.0000	5.0000
EG10105	4.0000	4.0000	4.0000	4.0000	4.8571	5.0000	5.0000	5.0000
EG10106	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
EG10107	3.0000	2.7143	1.3333	1.4091	1.0000	0.3636	0.0000	0.0000
EG10108	5.0000	5.0000	5.0000	5.4545	6.0000	6.0000	6.0000	5.6818
EG10109	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10110	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10112	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10114	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10115	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10116	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10118	2.0000	2.0000	2.0000	2.0000	2.0000	1.8182	1.0000	1.0000
EG10119	2.0000	2.0000	2.0000	2.0000	2.0000	1.8182	1.0000	1.0000
EG10120	2.0000	2.0000	2.0000	2.0000	2.0000	1.8182	1.0000	1.0000
EG10121	2.0000	2.0000	2.0000	2.0000	2.0000	1.8182	1.0000	1.0000
EG10122	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10123	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10124	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10125	1.0000	1.0000	1.0000	1.0000	1.4762	2.0000	2.0000	2.0000
EG10126	2.0000	2.0000	1.1429	1.0000	1.0000	1.0000	1.0000	1.0000
EG10127	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10128	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10129	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10130	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10132	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10133	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10134	0.0000	0.0000	0.0000	0.0000	0.2857	1.0000	1.0000	1.0000
EG10135	0.0000	0.0000	0.0000	0.0000	0.2857	1.0000	1.0000	1.0000
EG10136	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10137	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10138	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10139	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9524	1.6364
EG10140	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10141	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10142	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10143	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10144	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10145	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10146	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0455
