$	0m	0m	1m	1m	1m	2m	2m	2m
AGAD-MONOMER	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000
AGAX-MONOMER	40.0000	40.0000	40.0000	40.0000	40.0000	40.0000	40.0000	40.0000
AGMATIN-MONOMER	1042.0000	1047.0476	1057.2381	1068.6364	1083.4286	1100.5909	1117.2381	1128.2727
AICARTRANSIMPCYCLO-CPLX	1226.0000	1230.8095	1236.5714	1244.3636	1256.4286	1271.0000	1283.4762	1285.5909
AIRS-MONOMER	1172.0000	1173.9048	1180.7143	1186.0455	1194.7143	1201.0909	1206.9524	1211.3636
AKBLIG-MONOMER	123.0000	123.0000	123.0000	123.0000	123.0000	123.0000	123.0000	123.0000
ALARACEBIOSYN-MONOMER	56.0000	56.0000	56.0000	56.0000	56.0000	56.0000	56.0000	56.0000
ALARACECAT-MONOMER	101.0000	101.0000	101.0000	101.0000	101.0000	101.0000	101.0000	101.0000
ALAS-MONOMER	1520.0000	1521.8095	1524.8095	1532.5909	1538.4762	1543.0000	1548.9048	1555.0455
ALDDEHYDROGB-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
ALDHDEHYDROG-MONOMER	115.0000	116.1905	120.1905	124.7727	127.9524	132.2727	137.7619	141.2273
ALDOSE1EPIM-MONOMER	723.0000	725.0952	729.7619	732.7727	742.0952	747.0909	754.0476	763.5000
ALKAPHOSPHA-MONOMER	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000
ALPHA-AMYL-CYTO-MONOMER	290.0000	290.0000	288.6667	288.0000	288.0000	287.2273	287.0000	287.0000
ALPHA-AMYL-PERI-MONOMER	33.0000	33.0000	33.0000	33.0000	33.0000	33.0000	33.0000	33.0000
ALPHACOMP-MONOMER	247.0000	247.4762	251.7619	254.5455	259.2381	265.6364	270.4762	275.6364
ALPHAGALACTOSID-MONOMER	32.0000	32.0000	32.0000	32.0000	32.0000	32.0000	32.0000	32.0000
ALTRO-OXIDOREDUCT-MONOMER	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000
ALTRODEHYDRAT-MONOMER	41.0000	41.0000	41.0000	41.0000	41.0000	41.0000	41.0000	41.0000
AMINEOXID-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
AMP-NUCLEOSID-MONOMER	995.0000	997.0952	1004.1905	1012.1364	1016.5238	1017.0000	1017.0000	1017.0000
AMPG-MONOMER	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000
AMTB-MONOMER	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000
AMYLOMALT-MONOMER	75.0000	75.0000	75.0000	75.0000	75.0000	75.0000	75.0000	75.0000
