$	0m	0m	1m	1m	1m	2m	2m	2m
EG11516-MONOMER	17.0000	17.0000	16.5714	16.0000	16.0000	16.0000	16.0000	16.0000
EG11517-MONOMER	202.0000	206.4286	214.9524	220.4545	225.2381	235.5000	242.7143	253.6364
EG11519-MONOMER	431.0000	430.0952	429.0476	429.0000	429.0000	429.0000	432.3810	444.3182
EG11520-MONOMER	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000
EG11521-MONOMER	326.0000	326.0000	326.0000	326.0000	326.0000	326.0000	326.0000	325.8636
EG11522-MONOMER	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000
EG11523-MONOMER	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000
EG11524-MONOMER	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG11525-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG11526-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG11529-MONOMER	125.0000	125.0000	125.0000	125.0000	125.0000	125.0000	125.0000	125.0000
EG11533-MONOMER	246.0000	246.0000	246.0000	246.0000	245.1429	245.0000	245.0000	244.8182
EG11534-MONOMER	101.0000	101.0000	101.0000	101.0000	101.0000	101.0000	101.0000	101.0000
EG11535-MONOMER	39.0000	39.0000	39.0000	39.0000	39.0000	39.0000	39.0000	39.0000
EG11536-MONOMER	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000
EG11537-MONOMER	393.0000	395.2857	397.6667	397.0000	397.0000	396.7273	396.0000	396.0000
EG11538-MONOMER	63.0000	63.0000	63.0000	63.0000	63.0000	63.0000	63.0000	63.0000
EG11544-MONOMER	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000
EG11545-MONOMER	3296.0000	3300.2381	3306.1905	3313.0000	3316.7619	3318.5455	3320.8571	3327.5455
EG11547-MONOMER	244.0000	244.0000	244.0000	244.0000	244.0000	244.0000	244.0000	244.0000
EG11548-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
EG11549-MONOMER	223.0000	223.0000	223.0000	223.0000	223.0000	223.0000	223.0000	223.0000
EG11551-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11552-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11554-MONOMER	1277.0000	1277.0000	1277.0000	1277.0000	1277.0000	1277.0000	1277.0000	1277.0000
EG11562-MONOMER	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000
EG11563-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	8.2857	8.0000
EG11564-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11565-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11568-MONOMER	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000
EG11569-MONOMER	845.0000	849.2857	857.0476	859.6364	859.0000	858.7273	858.0000	857.9545
EG11570-MONOMER	80.0000	80.0000	80.0000	80.0000	80.0000	80.0000	80.0000	80.0000
EG11571-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
EG11578-MONOMER	66.0000	66.0000	66.0000	66.0000	68.8571	74.2273	80.5238	83.5909
EG11579-MONOMER	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000	23.0000
EG11580-MONOMER	136.0000	136.0000	136.0000	136.0000	136.0000	136.0000	136.0000	136.0000
EG11581-MONOMER	2027.0000	2032.6667	2045.2381	2059.7727	2078.1905	2095.0455	2112.7619	2133.3636
EG11591-MONOMER	246.0000	248.8095	251.6190	254.5909	258.0476	261.5000	263.8095	268.9545
EG11592-MONOMER	2377.0000	2381.6190	2392.4286	2401.5000	2423.5714	2452.0455	2470.2381	2481.5455
EG11594-MONOMER	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000
EG11595-MONOMER	58.0000	58.0000	58.0000	58.0000	58.0000	58.0000	58.0000	58.0000
EG11597-MONOMER	226.0000	226.0000	226.0000	226.0000	226.0000	226.0000	226.0000	226.0000
EG11598-MONOMER	233.0000	233.0000	233.0000	233.0000	233.0000	233.0000	233.0000	233.0000
EG11599-MONOMER	54.0000	54.0000	54.0000	54.0000	54.0000	54.0000	54.0000	54.0000
EG11600-MONOMER	195.0000	195.0000	195.0000	195.0000	195.0000	195.0000	195.0000	195.0000
EG11601-MONOMER	422.0000	422.0000	422.0000	421.6364	421.0000	421.0000	421.0000	421.0000
EG11603-MONOMER	129.0000	132.3810	136.8571	141.7273	148.0000	152.5455	155.3810	159.4545
EG11604-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11605-MONOMER	60.0000	60.0000	60.0000	60.0000	60.0000	60.8182	62.0000	62.0000
EG11607-MONOMER	3488.0000	3487.3333	3487.0000	3487.0000	3486.6190	3484.5000	3481.4286	3478.0909
EG11613-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11619-MONOMER	213.0000	213.0000	213.0000	213.0000	213.0000	213.7727	220.2857	222.3182
EG11620-MONOMER	1536.0000	1536.7619	1546.2857	1556.1364	1565.7619	1579.0909	1584.0000	1583.3636
EG11634-MONOMER	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000
EG11635-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11637-MONOMER	39.0000	39.0000	39.0000	39.0000	39.0000	39.0000	39.4286	41.9091
EG11639-MONOMER	54.0000	54.0000	55.1429	57.8636	60.0952	61.9091	63.4286	66.1818
EG11643-MONOMER	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000	24.0000
EG11644-MONOMER	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000
EG11645-MONOMER	26.0000	26.0000	25.7143	25.0000	25.0000	24.7727	24.0000	24.0000
EG11646-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG11649-MONOMER	118.0000	118.0000	117.7619	117.0000	117.0000	116.1364	116.0000	115.2727
EG11650-MONOMER	137.0000	137.0000	137.0000	137.0000	137.0000	137.0000	137.0000	137.0000
EG11651-MONOMER	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000
EG11652-MONOMER	93.0000	93.0000	93.0000	93.0000	93.0000	93.0000	93.0000	93.0000
EG11653-MONOMER	335.0000	335.0000	335.0000	335.0000	334.5714	334.0000	334.0000	334.0000
EG11656-MONOMER	671.0000	671.0000	671.0000	671.0000	671.0000	671.0000	671.0000	671.0000
EG11659-MONOMER	1107.0000	1107.0000	1107.0000	1106.0909	1105.7143	1103.3182	1102.0952	1102.0000
EG11660-MONOMER	246.0000	246.0000	246.0000	246.0000	246.0000	246.0000	246.0000	245.5909
EG11661-MONOMER	255.0000	255.0000	255.0000	255.0000	254.1905	254.0000	253.0000	253.0000
EG11662-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
EG11663-MONOMER	5981.0000	5995.3810	6028.8095	6059.2727	6096.2857	6142.1364	6200.8095	6280.2727
EG11664-MONOMER	191.0000	195.3333	200.1905	204.9091	209.5238	216.2273	223.7619	230.2727
EG11665-MONOMER	160.0000	160.0000	160.0000	160.9091	166.0476	173.3636	174.0000	174.0000
EG11666-MONOMER	408.0000	410.0952	411.0000	411.0000	411.0000	411.0000	411.0000	411.0000
EG11671-MONOMER	50.0000	50.0000	50.0000	50.0000	50.0000	50.0000	50.0000	50.0000
EG11674-MONOMER	110.0000	110.0000	110.0000	110.0000	110.0000	110.0000	110.2857	112.8182
EG11676-MONOMER	674.0000	674.0000	674.0000	674.0000	674.0000	674.0000	674.0000	674.0000
EG11678-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
EG11681-MONOMER	757.0000	760.3810	768.8571	772.4091	774.1905	779.7727	785.6190	790.0000
EG11682-MONOMER	1531.0000	1536.3810	1546.7619	1558.0000	1562.9524	1570.6364	1578.6667	1588.6818
EG11683-MONOMER	21.0000	21.0000	21.0000	21.0000	21.0000	21.0000	21.0000	21.0000
EG11684-MONOMER	56.0000	56.0000	56.0000	56.0000	56.0000	55.2273	57.3810	58.0000
EG11685-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
EG11688-MONOMER	84.0000	84.0000	84.0000	84.0000	84.0000	84.0000	84.0000	84.0000
EG11690-MONOMER	72.0000	72.0000	72.0000	72.0000	72.0000	72.0000	72.0000	72.0000
EG11691-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG11692-MONOMER	73.0000	73.0000	73.0000	73.0000	73.0000	73.0000	73.0000	73.0000
EG11694-MONOMER	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000
EG11695-MONOMER	33.0000	32.3333	32.0000	32.0000	32.0000	32.0000	32.0000	32.0000
EG11696-MONOMER	46.0000	46.0000	46.0000	45.9545	45.0000	45.0000	45.0000	45.0000
EG11697-MONOMER	42.0000	42.0000	42.0000	42.0000	42.0000	42.0000	42.0000	42.0000
EG11702-MONOMER	252.0000	252.0000	252.4286	257.0000	260.8571	267.0000	274.4762	280.0455
EG11703-MONOMER	520.0000	520.0000	520.0000	520.0000	520.0000	520.0000	520.0000	520.0000
EG11705-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11707-MONOMER	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000
EG11711-MONOMER	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000
EG11712-MONOMER	238.0000	238.0000	238.0000	238.0000	238.0000	238.0000	238.0000	238.0000
EG11713-MONOMER	108.0000	108.0000	108.0000	108.0000	108.0000	108.0000	108.0000	108.0000
EG11714-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11719-MONOMER	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
EG11721-MONOMER	27.0000	27.0000	27.0000	27.0000	27.0000	27.0000	27.0000	27.0000
EG11722-MONOMER	62.0000	62.0000	62.0000	62.0000	62.0000	62.0000	62.0000	62.0000
EG11723-MONOMER	192.0000	192.0000	192.0000	192.0000	192.0000	192.0000	192.0000	192.0000
EG11724-MONOMER	420.0000	420.7143	421.8571	427.7273	429.9524	431.8636	436.0000	436.0000
EG11725-MONOMER	75.0000	75.0000	75.0000	75.0000	75.0000	75.0000	75.0000	75.0000
EG11726-MONOMER	66.0000	66.0000	66.0000	66.0000	66.0000	66.0000	66.0000	66.0000
EG11727-MONOMER	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000	37.0000
EG11728-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG11729-MONOMER	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000
EG11730-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
EG11731-MONOMER	49.0000	49.0000	49.0000	49.0000	49.0000	49.0000	49.0000	49.0000
EG11733-MONOMER	85.0000	85.0000	84.4286	83.8636	82.1905	82.0000	81.4286	80.2727
EG11734-MONOMER	374.0000	374.7143	378.8571	384.2273	387.7143	390.9545	393.5714	400.4545
EG11735-MONOMER	495.0000	495.0000	495.2857	498.9545	502.5238	509.7273	513.2381	517.4545
EG11736-MONOMER	424.0000	424.0000	424.0000	424.0000	424.0000	424.0000	424.0000	424.0000
EG11738-MONOMER	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000
EG11739-MONOMER	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG11740-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG11741-MONOMER	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000
EG11743-MONOMER	164.0000	164.0000	164.0000	164.0000	164.0000	164.0000	164.0000	164.0000
EG11744-MONOMER	192.0000	192.0000	192.0000	192.0000	192.0000	192.0000	192.0000	192.0000
EG11748-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG11749-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
EG11750-MONOMER	25.0000	26.6190	31.0476	35.6818	40.4286	45.8636	52.0000	60.8182
EG11757-MONOMER	617.0000	622.2857	635.2857	650.8182	671.1429	681.6818	690.1905	707.4091
EG11758-MONOMER	160.0000	161.9048	167.6667	170.7727	177.4286	180.4091	182.4762	184.7273
EG11759-MONOMER	289.0000	289.0000	289.0000	289.0000	289.0000	289.0000	289.0000	289.0000
EG11760-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
EG11761-MONOMER	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000	111.0000
EG11762-MONOMER	149.0000	151.2381	155.9524	162.5000	168.7619	178.5000	181.8095	185.7727
EG11763-MONOMER	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000
EG11764-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG11765-MONOMER	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000
EG11768-MONOMER	42.0000	42.0000	42.0000	42.0000	42.0000	42.0000	42.0000	42.0000
EG11769-MONOMER	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000	30.0000
EG11775-MONOMER	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000
EG11776-MONOMER	247.0000	246.2381	246.0000	246.0000	246.0000	246.0000	246.0000	246.0000
EG11779-MONOMER	735.0000	735.0000	735.0000	735.0000	734.6667	734.0000	733.8571	733.0000
EG11782-MONOMER	2444.0000	2443.2381	2441.0000	2445.0000	2456.0952	2474.5909	2500.6667	2525.3182
EG11783-MONOMER	158.0000	158.2381	160.9048	163.6818	167.8571	170.0000	170.0000	170.0000
EG11784-MONOMER	1336.0000	1335.7143	1334.1905	1330.7727	1328.2857	1327.6818	1325.0476	1322.0909
EG11785-MONOMER	28.0000	28.0000	28.0000	28.0000	28.0000	28.0000	28.0000	28.0000
EG11786-MONOMER	444.0000	448.3333	451.0000	451.0000	451.0000	451.0000	451.0000	451.0000
EG11790-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG11793-MONOMER	117.0000	118.4286	121.2381	124.2273	128.3333	132.6818	139.4762	145.7727
EG11794-MONOMER	231.0000	231.0000	231.0000	231.0000	231.0000	231.0000	231.0000	231.0000
EG11796-MONOMER	64.0000	64.0000	64.0000	64.0000	64.0000	64.0000	64.0000	64.0000
EG11798-MONOMER	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000	22.0000
EG11800-MONOMER	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000
EG11802-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG11803-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
EG11804-MONOMER	37.0000	37.0000	36.8095	36.0000	36.0000	36.0000	36.0000	36.0000
EG11805-MONOMER	38.0000	38.0000	38.0000	38.0000	38.0000	38.0000	38.0000	38.0000
EG11806-MONOMER	52.0000	52.0000	52.0000	52.0000	52.0000	52.0000	52.0000	52.0000
EG11807-MONOMER	63.0000	63.0000	63.7143	64.8182	65.2857	65.0000	65.0000	65.0000
EG11808-MONOMER	218.0000	218.0000	218.0000	218.0000	217.7143	217.0000	217.0000	217.0000
EG11811-MONOMER	19.0000	19.0000	19.0000	19.0000	19.0000	19.0000	19.0000	19.0000
EG11812-MONOMER	2.0000	2.6190	4.2857	9.5909	12.8571	16.6818	21.3333	25.2727
EG11815-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
EG11816-MONOMER	156.0000	156.0000	156.0000	156.6364	157.0000	157.6364	159.5714	160.7273
EG11817-MONOMER	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000
EG11820-MONOMER	534.0000	534.8571	535.3333	541.2273	546.4762	548.9091	555.0952	557.7727
EG11822-MONOMER	112.0000	114.0000	121.0476	127.1818	132.3333	140.4091	145.7143	149.5455
EG11824-MONOMER	123.0000	123.0000	123.0000	123.0000	123.0000	123.0000	123.0000	123.0000
EG11825-MONOMER	185.0000	185.0000	185.0000	185.0000	185.0000	185.0000	185.0476	186.9545
EG11826-MONOMER	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000
EG11828-MONOMER	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000	47.0000
EG11829-MONOMER	29.0000	29.0000	29.0000	29.0000	29.0000	29.0000	29.0000	29.0000
EG11830-MONOMER	1212.0000	1212.0000	1212.0000	1212.0000	1212.0000	1212.0000	1210.7619	1210.0000
EG11831-MONOMER	55.0000	55.0000	55.8095	56.8636	57.0000	57.0000	57.0000	57.0000
EG11832-MONOMER	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000
EG11833-MONOMER	31.0000	31.0000	31.0000	31.0000	31.0000	31.0000	31.0000	31.0000
EG11835-MONOMER	1369.0000	1381.1905	1406.0952	1416.4091	1426.2857	1442.8636	1456.3333	1476.5909
EG11837-MONOMER	2868.0000	2876.7143	2894.0952	2912.8636	2935.5714	2960.5000	2987.9048	3003.7727
EG11838-MONOMER	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000
EG11839-MONOMER	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000
EG11843-MONOMER	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000
EG11844-MONOMER	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000
EG11845-MONOMER	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000
EG11846-MONOMER	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000
EG11847-MONOMER	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000
EG11848-MONOMER	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000
EG11849-MONOMER	67.0000	67.0000	67.0000	67.0000	67.0000	67.0000	66.3810	66.0000
EG11850-MONOMER	110.0000	112.7619	114.4762	115.9545	120.0000	122.0000	123.8571	125.8636
EG11851-MONOMER	36.0000	36.0952	37.0000	38.1364	39.9524	41.4545	43.2857	46.4545
EG11852-MONOMER	287.0000	287.8571	291.4762	296.5000	301.0952	305.8636	314.2381	322.5909
EG11853-MONOMER	163.0000	163.0000	165.6190	168.3182	170.4762	177.5909	183.1429	184.7273
EG11854-MONOMER	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG11855-MONOMER	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000
EG11859-MONOMER	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000
EG11860-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
EG11861-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
EG11862-MONOMER	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000
EG11865-MONOMER	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000	11.0000
EG11870-MONOMER	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000	163.0000
EG11874-MONOMER	181.0000	181.0000	181.0000	181.0000	181.0000	181.0000	181.0000	181.0000
EG11875-MONOMER	68.0000	68.0000	68.0000	68.0000	68.0000	68.0000	68.0000	68.0000
EG11876-MONOMER	361.0000	363.6667	367.9048	375.1364	384.5714	388.6364	392.7619	403.4091
EG11877-MONOMER	390.0000	391.8095	397.0000	400.9545	412.4286	421.7727	428.0476	433.5000
EG11878-MONOMER	6990.0000	6994.2381	7008.0000	7022.0909	7034.7619	7046.5909	7060.2381	7075.5000
EG11879-MONOMER	737.0000	737.0000	740.9048	746.2727	749.0000	750.6818	754.9524	758.8182
EG11881-MONOMER	916.0000	916.0000	916.0000	916.0000	916.0000	916.0000	916.0000	916.0000
EG11882-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
EG11884-MONOMER	323.0000	326.0476	330.7619	338.6364	350.2381	358.7273	366.7619	374.5455
EG11885-MONOMER	945.0000	945.0000	946.2381	950.7273	954.8571	955.0000	955.1905	961.8182
EG11886-MONOMER	280.0000	280.0000	280.0000	280.0000	281.0476	282.0000	281.8095	281.0000
EG11888-MONOMER	120.0000	120.0000	120.0000	120.0000	120.0000	120.0000	120.0000	120.0000
EG11889-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11890-MONOMER	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000
EG11891-MONOMER	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000
EG11892-MONOMER	61.0000	62.9524	67.5238	74.5909	76.5714	78.7273	81.2857	85.0455
EG11894-MONOMER	1575.0000	1578.3333	1587.6190	1597.6818	1608.0476	1622.5455	1631.4286	1643.0909
EG11895-MONOMER	210.0000	210.0000	210.0000	210.0000	210.0000	210.0000	210.0000	210.0000
EG11899-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG11900-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
EG11901-MONOMER	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000
EG11902-MONOMER	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000	4.0000
EG11903-MONOMER	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000
EG11905-MONOMER	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000	15.0000
EG11906-MONOMER	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000	9.0000
EG11910-MONOMER	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000
EG11911-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
EG11912-MONOMER	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000	16.0000
EG11913-MONOMER	57.0000	57.0000	57.0000	57.0000	57.0000	57.0000	57.0000	57.0000
EG11914-MONOMER	353.0000	353.0000	353.0000	353.0000	353.0000	353.0000	353.0000	353.0000
EG11915-MONOMER	43.0000	43.0000	43.0000	43.0000	43.0000	43.6818	44.7619	46.0000
EG11916-MONOMER	529.0000	529.0000	529.0000	529.0000	529.0000	529.0000	530.2857	535.5909
EG11917-MONOMER	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
EG11918-MONOMER	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000	12.0000
EG11919-MONOMER	38.0000	38.0000	38.0000	38.0000	38.0000	38.0000	38.0000	38.0000
EG11920-MONOMER	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000
EG11921-MONOMER	268.0000	268.0000	268.0000	268.0000	268.0000	268.8182	271.0952	272.0000
EG11922-MONOMER	130.0000	130.0000	130.0000	130.0000	130.0000	130.0000	128.9524	128.0000
EG11923-MONOMER	83.0000	83.0000	83.0000	83.0000	83.0000	83.0000	83.0000	83.0000
EG11924-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11925-MONOMER	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000	8.0000
EG11926-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11928-MONOMER	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000	48.0000
EG11929-MONOMER	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000	79.0000
EG11930-MONOMER	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000	3.0000
EG11931-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG11932-MONOMER	168.0000	167.1905	166.0000	165.6818	164.1905	164.0000	164.0000	164.0000
EG11933-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
EG11935-MONOMER	147.0000	147.0000	147.0000	147.0000	147.0000	147.0000	147.0000	146.3636
EG11936-MONOMER	391.0000	390.7619	389.1905	389.0000	389.0000	389.0000	388.0952	388.0000
EG11937-MONOMER	145.0000	145.0000	145.0000	145.0000	145.0000	145.0000	145.0000	145.0000
EG11938-MONOMER	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000	18.0000
EG11939-MONOMER	317.0000	317.0000	316.0476	316.0000	316.0000	316.0000	316.0000	316.0000
EG11941-MONOMER	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG11948-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11949-MONOMER	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000
EG11950-MONOMER	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000	13.0000
EG11951-MONOMER	134.0000	134.0000	134.0000	134.0000	134.0000	134.0000	134.0000	134.0000
EG11952-MONOMER	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000	6.0000
EG11954-MONOMER	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000	5.0000
EG11955-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG11956-MONOMER	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000	26.0000
EG11957-MONOMER	39.0000	39.0000	39.0000	39.0000	39.0000	39.0000	39.0000	39.0000
EG11962-MONOMER	15.0000	15.0000	15.7619	16.0000	16.0000	16.0000	16.0000	16.0000
EG11964-MONOMER	1023.0000	1023.0000	1023.0000	1023.0000	1023.0000	1022.8636	1025.7619	1036.9091
EG11966-MONOMER	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000
EG11967-MONOMER	1616.0000	1617.9524	1623.0476	1624.9545	1629.5238	1639.0455	1650.1429	1660.3636
EG11969-MONOMER	87.0000	87.0000	87.0000	87.0000	87.0000	87.0000	87.0000	87.0000
EG11970-MONOMER	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000
EG11972-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
EG11973-MONOMER	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000
EG11974-MONOMER	88.0000	88.0000	88.0000	88.0000	88.0000	88.0000	88.0476	89.0000
EG11975-MONOMER	664.0000	664.0000	664.0000	664.0000	665.1905	670.3636	671.4286	676.4091
EG11976-MONOMER	643.0000	643.0000	643.0000	643.0000	643.0000	643.6364	647.6190	653.9545
EG11977-MONOMER	681.0000	681.0000	681.0000	680.6818	680.0000	682.1364	687.2857	694.3182
