"Metabolite"	"Bennett Concentration (units.mol/units.L)"	"Park Concentration (units.mol/units.L)"	"Lempp Concentration (units.mol/units.L)"	"Kochanowski Concentration (units.mol/units.L)"	"Sander Concentration (units.mol/units.L)"	"_comments"
"CPD0-1080"	NaN	NaN	1.0e-8	NaN	NaN 	"Small target necessary to allow flux through cell wall recycling pathway. NOTE: as of 8/4/2026, Bennet is not in the active source list in metabolism.py, will be ignored!"
"P-AMINO-BENZOATE"	NaN	NaN	8.0e-6	NaN	NaN 	"Necessary to have a homeostatic concentration in order to model inhibition of DHPS by competition with sulfadiazine"
