K_nM,generation,saturation_events,max_oriC
20,1,1,4
20,2,0,2
20,3,1,2
20,4,1,2
20,5,1,2
20,6,2,2
15,1,1,2
15,2,0,2
15,3,0,2
15,4,1,2
15,5,1,2
15,6,1,2
15,7,1,2
15,8,1,2
15,9,0,1
25,1,0,2
25,2,0,2
25,3,1,2
25,4,1,2
25,5,1,2
25,6,0,2
25,7,1,2
25,8,1,2
25,9,0,1
30,1,0,4
30,2,0,2
30,3,0,2
30,4,0,2
30,5,1,2
30,6,0,2
30,7,1,2
30,8,1,2
30,9,0,1
40,1,0,2
40,2,0,2
40,3,0,2
40,4,1,2
40,5,0,2
40,6,0,2
40,7,0,2
40,8,1,2
40,9,0,1
