k_h_per_min,steady_ATP_fraction,max_oriC_any_gen,once_per_cycle,note
0.010,0.14,4,no,over-initiates (oriC->4) — cluster lock-in
0.015,0.167,2,yes,clean once-per-cycle
0.020,0.103,2,yes,clean once-per-cycle
0.025,0.129,2,yes,reference (dnaa-4) — lowering k_h does not raise the ATP fraction
